State,District,Telugu,Hindi
Andaman and Nicobar Islands,Nicobars,నికోబార్లు,निकोबार
Andaman and Nicobar Islands,North and Middle Andaman,ఉత్తర మరియు మధ్య అండమాన్,उत्तर और मध्य अंडमान
Andaman and Nicobar Islands,South Andaman,దక్షిణ అండమాన్,दक्षिणी अंडमान
Andhra Pradesh,Anantapur,అనంతపురం,अनंतपुर
Andhra Pradesh,Chittoor,చిత్తూరు,चित्तूर
Andhra Pradesh,East Godavari,తూర్పు గోదావరి,पूर्वी गोदावरी
Andhra Pradesh,Guntur,గుంటూరు,गुंटूर
Andhra Pradesh,Krishna,కృష్ణ,कृष्णा
Andhra Pradesh,Kurnool,కర్నూలు,कुरनूल
Andhra Pradesh,Prakasam,ప్రకాశం,प्रकाशम
Andhra Pradesh,S.P.S. Nellore,నెల్లూరు,नेल्लोर
Andhra Pradesh,Srikakulam,శ్రీకాకుళం,श्रीकाकुलम
Andhra Pradesh,Visakhapatnam,విశాఖపట్నం,विशाखापट्टनम 
Andhra Pradesh,Vizianagaram,విజయనగరం,विजयनगरम
Andhra Pradesh,West Godavari,పశ్చిమ గోదావరి,पश्चिमी गोदावरी
Andhra Pradesh,Y.S.R. Kadapa,వై.ఎస్.ఆర్. కడప,कडपा
Arunachal Pradesh,Anjaw,ఆంజ,अंजा
Arunachal Pradesh,Changlang,చాంగ్లాంగ్,चांगलांग
Arunachal Pradesh,East Kameng,తూర్పు కామెంగ్,पूर्वी कामेंग
Arunachal Pradesh,East Siang,తూర్పు సియాంగ్,पूर्व सियांग
Arunachal Pradesh,Kamle,కమలే,कमले 
Arunachal Pradesh,Kra Daadi,క్రా డాడి,क्रा दादी 
Arunachal Pradesh,Kurung Kumey,కురుంగ్ కుమే,कुरूंग कुमेय 
Arunachal Pradesh,Lepa Rada,లేపా రాడా,लेपा राडा 
Arunachal Pradesh,Lohit,లోహిత్,लोहित
Arunachal Pradesh,Longding,లొంగిడింగ్,लोंगडिंग 
Arunachal Pradesh,Lower Dibang Valley,దిగువ దిబాంగ్ వ్యాలీ,लोअर दिबांग घाटी
Arunachal Pradesh,Lower Siang,దిగువ సియాంగ్,लोअर सियांग
Arunachal Pradesh,Lower Subansiri,దిగువ సుబన్సిరి,लोअर सुबानसिरी
Arunachal Pradesh,Namsai,నామసాయి,नामसाई 
Arunachal Pradesh,Pakke Kessang,పక్కే కెస్సాంగ్,पक्के केसांग 
Arunachal Pradesh,Papum Pare,పాపుమ్ పరే,पापुम पारे
Arunachal Pradesh,Shi Yomi,షి యోమి,शि योमी
Arunachal Pradesh,Siang,సియాంగ్,सियांग
Arunachal Pradesh,Tawang,తవాంగ్,तवांग
Arunachal Pradesh,Tirap,తిరాప్,तिराप 
Arunachal Pradesh,Upper Dibang Valley,ఎగువ దిబాంగ్ వ్యాలీ,ऊपरी दिबांग घाटी
Arunachal Pradesh,Upper Siang,ఎగువ సియాంగ్,ऊपरी सियांग
Arunachal Pradesh,Upper Subansiri,ఎగువ సుబన్సిరి,ऊपरी सुबानसिरी
Arunachal Pradesh,West Kameng,వెస్ట్ కామెంగ్,पश्चिम कामेंग
Arunachal Pradesh,West Siang,వెస్ట్ సియాంగ్,पश्चिम सियांग
Assam,Baksa,బక్సా,बक्सा
Assam,Barpeta,బార్పేట,बारपेटा
Assam,Biswanath,బిశ్వనాథ్,बिश्वनाथ
Assam,Bongaigaon,బొంగైగోన్,बोंगईगांव
Assam,Cachar,కచార్,कछार
Assam,Charaideo,చరాయిదేవ్,चराइदेओ 
Assam,Chirang,చిరాంగ్,चिरांग
Assam,Darrang,దర్రాన్గ్,दरांग
Assam,Dhemaji,దేమాజీ,धेमाजी
Assam,Dhubri,ధుబ్రి,धुबरी
Assam,Dibrugarh,దిబ్రుగార్,डिब्रूगढ़
Assam,Dima Hasao,డిమా హసావో,दीमा हसाओ
Assam,Goalpara,గోల్పర,गोलपाड़ा
Assam,Golaghat,గోలాఘాట్,गोलाघाट
Assam,Hailakandi,హైలాకండి,हैलाकांडी
Assam,Hojai,హోజై,होजाइ 
Assam,Jorhat,జోర్హాట్,जोरहाट
Assam,Kamrup,కామరూప్,कामरूप
Assam,Kamrup Metropolitan,కామరూప్ మెట్రోపాలిటన్,कामरूप मेट्रोपोलिटन
Assam,Karbi Anglong,కర్బీ ఆంగ్లాంగ్,कार्बी आंगलोंग
Assam,Karimganj,కరీంగంజ్,करीमगंज
Assam,Kokrajhar,కోక్రాఝర్,कोकराझार
Assam,Lakhimpur,లఖింపూర్,लखीमपुर
Assam,Majuli,మజూలి,माजुली
Assam,Morigaon,మొరిగాన్,मोरीगांव
Assam,Nagaon,నాగావ్,नगांव
Assam,Nalbari,నల్బరి,नलबाड़ी
Assam,Sivasagar,శివసాగర్,शिवसागर
Assam,Sonitpur,సోనిత్పూర్,सोनितपुर
Assam,South Salmara Mancachar,దక్షిణ సల్మారా మంచాచార్,दक्षिण सलमारा मनचचार 
Assam,Tinsukia,టిన్సుకియా,तिनसुकिया
Assam,Udalguri,ఉదాల్గురి,उदालगुरी 
Assam,West Karbi Anglong,పశ్చిమ కర్బి ఆంగ్లాంగ్,पश्चिम कार्बी आंगलोंग
Bihar,Araria,అరారియా,अररिया
Bihar,Arwal,ఆర్వాల్,अरवल
Bihar,Aurangabad,ఔరంగాబాద్,औरंगाबाद
Bihar,Banka,బంకా,बांका
Bihar,Begusarai,బెగుసారై,बेगूसराय
Bihar,Bhagalpur,భగల్పూర్,भागलपुर
Bihar,Bhojpur,భోజ్పూర్,भोजपुर
Bihar,Buxar,బక్సర్,बक्सर
Bihar,Darbhanga,దర్భాంగా,दरभंगा
Bihar,Gaya,గయ,गया
Bihar,Gopalganj,గోపాలగంజ్,गोपालगंज
Bihar,Jamui,జముయ్,जमुई
Bihar,Jehanabad,జెహానాబాద్,जहानाबाद
Bihar,Kaimur Bhabua,కైమూర్ భాబువా,कैमूर भभुआ
Bihar,Katihar,కతిహార్,कटिहार
Bihar,Khagaria,ఖగరియా,खगरिया
Bihar,Kishanganj,కిషన్గంజ్,किशनगंज
Bihar,Lakhisarai,లఖిసరాయ్,लखीसराय
Bihar,Madhepura,మాధేపురా,मधेपुरा
Bihar,Madhubani,మధుబని,मधुबनी
Bihar,Munger,ముంగేర్,मुंगेर
Bihar,Muzaffarpur,ముజఫర్పూర్,मुजफ्फरपुर
Bihar,Nalanda,నలంద,नालंदा
Bihar,Nawada,నవాడా,नवादा
Bihar,Pashchim Champaran,పష్చిమ్ చంపారన్,पश्चिम चंपारण
Bihar,Patna,పాట్నా,पटना
Bihar,Purba Champaran,పూర్బ చంపారన్,पूर्ब चंपारण
Bihar,Purnia,పూర్ణియా,पूर्णिया
Bihar,Rohtas,రోహ్తాస్,रोहतास
Bihar,Saharsa,సహర్సా,सहरसा
Bihar,Samastipur,సమస్తిపూర్,समस्तीपुर
Bihar,Saran,సరన్,सरन
Bihar,Sheikhpura,షేక్పురా,शेखपुरा
Bihar,Sheohar,శివోహర్,शिवहर
Bihar,Sitamarhi,సీతామర్హి,सीतामढ़ी
Bihar,Siwan,శివన్,सिवान
Bihar,Supaul,సుపౌల్,सुपौल
Bihar,Vaishali,వైశాలి,वैशाली
Chandigarh,Chandigarh,చండీగఢ్,चंडीगढ़
Chhattisgarh,Balod,బలోడ్,बालोद
Chhattisgarh,Baloda Bazar,బలోడాబజార్,बलोदा बाजार
Chhattisgarh,Balrampur,బలరామ్పూర్,बलरामपुर
Chhattisgarh,Bametara,బమేతర,बामेतारा 
Chhattisgarh,Bastar,బస్తర్,बस्तर
Chhattisgarh,Bijapur,బీజాపూర్,बीजापुर
Chhattisgarh,Bilaspur,బిలాస్పూర్,बिलासपुर
Chhattisgarh,Dakshin Bastar Dantewada,దక్షిణ బస్తర్ దంతేవాడ,दक्षिण बस्तर दंतेवाड़ा
Chhattisgarh,Dhamtari,ధమ్తారి,धमतरी
Chhattisgarh,Durg,దుర్గ్,दुर्ग
Chhattisgarh,Gariaband,గరియాబంద్,गरियाबंद
Chhattisgarh,Janjgir - Champa,జంజ్‌గిర్ - చంపా,जांजगीर - चंपा
Chhattisgarh,Jashpur,జష్పూర్,जशपुर
Chhattisgarh,Kabeerdham,కబీర్ధామ్,कबीरधाम 
Chhattisgarh,Kondagaon,కొండగాన్,कोंडागांव 
Chhattisgarh,Korba,కోర్బా,कोरबा
Chhattisgarh,Koriya,కొరియా,कोरिया
Chhattisgarh,Mahasamund,మహాసముంద్,महासमुंद
Chhattisgarh,Mungeli,ముంగేళి,मुंगेली
Chhattisgarh,Narayanpur,నారాయణ్పూర్,नारायणपुर
Chhattisgarh,Raigarh,రాయ్గఢ్,रायगढ़
Chhattisgarh,Raipur,రాయ్పూర్,रायपुर
Chhattisgarh,Rajnandgaon,రాజనందగాన్ ,राजनंदगांव
Chhattisgarh,Sukma,సుక్మా,सुकमा
Chhattisgarh,Surajpur,సురాజ్పూర్,सूरजपुर 
Chhattisgarh,Surguja,సుర్గుజా,सरगुजा
Chhattisgarh,Uttar Bastar Kanker,ఉత్తర్ బస్తర్,उत्तर बस्तर कांकेर
Dadra and Nagar Haveli,Dadra and Nagar Haveli,దాద్రా మరియు నగర్ హవేలి,दादरा और नगर हवेली
Daman And Diu,Daman,డామన్,दमन
Daman And Diu,Diu,డియూ,दीव
Delhi,Central Delhi,సెంట్రల్ ఢిల్లీ ,सेंट्रल दिल्ली
Delhi,East Delhi,తూర్పు ఢిల్లీ ,पूर्वी दिल्ली
Delhi,New Delhi,న్యూఢిల్లీ,नई दिल्ली
Delhi,North Delhi,ఉత్తర ఢిల్లీ ,उत्तरी दिल्ली
Delhi,North East Delhi,నార్త్ ఈస్ట్ ఢిల్లీ ,नॉर्थ ईस्ट दिल्ली
Delhi,North West Delhi,నార్త్ వెస్ట్ ఢిల్లీ ,उत्तर पश्चिम दिल्ली
Delhi,Shahdara,షాదార,शाहदरा
Delhi,South Delhi,దక్షిణ ఢిల్లీ ,दक्षिण दिल्ली
Delhi,South East Delhi,ఆగ్నేయ ఢిల్లీ ,दक्षिण पूर्व दिल्ली
Delhi,South West Delhi,నైరుతి ఢిల్లీ ,साउथ वेस्ट दिल्ली
Delhi,West Delhi,పశ్చిమ ఢిల్లీ ,पश्चिमी दिल्ली
Goa,North Goa,ఉత్తర గోవా,उत्तरी गोवा
Goa,South Goa,దక్షిణ గోవా,दक्षिण गोवा
Gujarat,Ahmadabad,అహ్మదాబాద్,अहमदाबाद
Gujarat,Amreli,అమ్రేలి,अमरेली
Gujarat,Anand,ఆనంద్,आनंद
Gujarat,Aravalli,ఆరావళి,अरावली
Gujarat,Banas Kantha,బనస్ కాంత,बनास कांठा
Gujarat,Bharuch,బారుచ్,भरूच
Gujarat,Bhavnagar,భావ్నగర్,भावनगर
Gujarat,Botad,బోటడ్,बोटाड
Gujarat,Chota Udaipur,చోటా ఉదయపూర్,छोटा उदयपुर
Gujarat,Devbhumi Dwarka,దేవ్‌భూమి ద్వారక,देवभूमि द्वारका 
Gujarat,Dohad,దోహాడ్,दाहोद
Gujarat,Gandhinagar,గాంధీనగర్,गांधीनगर
Gujarat,Gir Somnath,గిర్ సోమనాథ్,गिर सोमनाथ
Gujarat,Jamnagar,జామ్నగర్,जामनगर
Gujarat,Junagadh,జునాగఢ్,जूनागढ़
Gujarat,Kachchh,ఖచ్చ్,कच्छ
Gujarat,Kheda,ఖేడా,खेड़ा
Gujarat,Mahesana,మహేసన,महेसाणा
Gujarat,Mahisagar,మహిసాగర్,महिसागर 
Gujarat,Morbi,మోర్బీ,मोरबी
Gujarat,Narmada,నర్మదా,नर्मदा
Gujarat,Navsari,నవసారి,नवसारी
Gujarat,Panch Mahals,పంచ మహల్స్,पंचमहल जिला
Gujarat,Patan,పటాన్,पाटन
Gujarat,Porbandar,పోర్బందర్,पोरबंदर
Gujarat,Rajkot,రాజ్కోట్,राजकोट
Gujarat,Sabar Kantha,సబర్ కాంత,सबर कांठा 
Gujarat,Surat,సూరత్,सूरत
Gujarat,Surendranagar,సురేంద్రనగర్,सुरेंद्रनगर
Gujarat,Tapi,తాపీ,तापी
Gujarat,The Dangs,డాంగ్స్,डांग
Gujarat,Vadodara,వడోదర,वडोदरा
Gujarat,Valsad,వల్సాడ్,वलसाड
Haryana,Ambala,అంబాలా,अंबाला
Haryana,Bhiwani,భివాని,भिवानी
Haryana,Charki Dadri,చార్కి దాద్రి,चरखी दादरी
Haryana,Faridabad,ఫరీదాబాద్,फरीदाबाद
Haryana,Fatehabad,ఫతేహాబాద్,फतेहाबाद
Haryana,Gurugram,గురుగ్రామ్,गुरुग्राम 
Haryana,Hisar,హిసార్,हिसार
Haryana,Jhajjar,ఝజ్జర్,झज्जर
Haryana,Jind,జింద్,जींद
Haryana,Kaithal,కైతల్,कैथल
Haryana,Karnal,కర్నాల్,करनाल
Haryana,Kurukshetra,కురుక్షేత్ర,कुरुक्षेत्र
Haryana,Mahendragarh,మహేంద్రగఢ్,महेंद्रगढ़
Haryana,Nuh,నూహ్,नूह 
Haryana,Palwal,పల్వల్,पलवल
Haryana,Panchkula,పంచకుల,पंचकुला
Haryana,Panipat,పానిపట్,पानीपत
Haryana,Rewari,రేవారి,रेवाड़ी
Haryana,Rohtak,రోహ్తక్,रोहतक
Haryana,Sirsa,సిర్సా,सिरसा
Haryana,Sonipat,సోనిపట్,सोनीपत
Haryana,Yamunanagar,యమునా,यमुनानगर
Himachal Pradesh,Bilaspur,బిలాస్పూర్,बिलासपुर
Himachal Pradesh,Chamba,చంబా,चंबा
Himachal Pradesh,Hamirpur,హమీర్ పూర్,हमीरपुर
Himachal Pradesh,Kangra,కాంగ్రా,कांगड़ा
Himachal Pradesh,Kinnaur,కిన్నౌర్,किन्नौर
Himachal Pradesh,Kullu,కుల్లు,कुल्लू
Himachal Pradesh,Lahul & Spiti,లాహుల్ & స్పితి,लाहौल-स्पीति
Himachal Pradesh,Mandi,మండి,मंडी
Himachal Pradesh,Shimla,సిమ్లా,शिमला
Himachal Pradesh,Sirmaur,శ్రీమౌర్,सिरमौर
Himachal Pradesh,Solan,సోలన్,सोलन 
Himachal Pradesh,Una,ఉన,ऊना
Jammu and Kashmir,Anantnag,అనంతనాగ్,अनंतनाग
Jammu and Kashmir,Badgam,బద్గామ్,बड़गाम
Jammu and Kashmir,Bandipore,బందిపూర్,बांदीपुरा
Jammu and Kashmir,Baramula,బారాముల్లా,बारामुला
Jammu and Kashmir,Doda,దోడ,डोडा
Jammu and Kashmir,Ganderbal,గందర్బల్,गंदरबल 
Jammu and Kashmir,Jammu,జమ్మూ,जम्मू
Jammu and Kashmir,Kathua,కథువా,कठुआ
Jammu and Kashmir,Kishtwar,కిష్ట్వార్,किश्तवाड़
Jammu and Kashmir,Kulgam,కుల్గామ్,कुलगाम
Jammu and Kashmir,Kupwara,కుప్వారా,कुपवाड़ा
Jammu and Kashmir,Mirpur,మిర్పూర్,मीरपुर
Jammu and Kashmir,Muzaffarabad,ముజఫరాబాద్,मुजफ्फराबाद
Jammu and Kashmir,Pulwama,పుల్వామా,पुलवामा
Jammu and Kashmir,Punch,పంచ్,पंच
Jammu and Kashmir,Rajouri,రాజౌరి,राजौरी
Jammu and Kashmir,Ramban,రాంబన్,रामबन
Jammu and Kashmir,Reasi,రియాసీ,रियासी
Jammu and Kashmir,Samba,సాంబా,सांबा
Jammu and Kashmir,Shupiyan,షుపియన్,शुपियाँ 
Jammu and Kashmir,Srinagar,శ్రీనగర్,श्रीनगर
Jammu and Kashmir,Udhampur,ఉధంపూర్,उधमपुर
Jharkhand,Bokaro,బొకారో,बोकारो
Jharkhand,Chatra,ఛత్ర,चतरा
Jharkhand,Deoghar,దేవఘర్,देवघर
Jharkhand,Dhanbad,ధన్బాద్,धनबाद
Jharkhand,Dumka,దుమ్కా,दुमका
Jharkhand,Garhwa,గరవా,गढ़वा
Jharkhand,Giridih,గిరిధ్,गिरिडीह
Jharkhand,Godda,గొడ్డా,गोड्डा
Jharkhand,Gumla,గుమ్లా,गुमला
Jharkhand,Hazaribagh,హజారీబాగ్,हजारीबाग
Jharkhand,Jamtara,జంతర,जामताड़ा
Jharkhand,Khunti,ఖుంతి,खूंटी
Jharkhand,Kodarma,కోధర్మ,कोडरमा
Jharkhand,Latehar,లాతేహార్,लातेहार
Jharkhand,Lohardaga,లోహార్దాగ,लोहरदागा 
Jharkhand,Pakur,పాకూర్,पाकुर
Jharkhand,Palamu,పలాము ,पलामू
Jharkhand,Pashchimi Singhbhum,పష్చిమి సింగ్భూమ్,पश्चिमी सिंघभूम 
Jharkhand,Purbi Singhbhum,పుర్బి సింగ్భూమ్,पूरबी सिंघभूम 
Jharkhand,Ramgarh,రాంగడ్,रामगढ़
Jharkhand,Ranchi,రాంచీ,रांची
Jharkhand,Sahibganj,సాహిబ్ గంజ్,साहिबगंज
Jharkhand,Saraikela-Kharsawan,సరైకేల  - ఖార్సవాన్ ,सराईकेला-खरसावाँ 
Jharkhand,Simdega,సిందేగా,सिमडेगा
Karnataka,Bagalkote,బాగల్కోటె,बागलकोट
Karnataka,Ballari,బళ్ళారి,बल्लारी 
Karnataka,Belagavi,బెలగావి,बेलगावी
Karnataka,Bengaluru,బెంగళూరు,बेंगलुरु
Karnataka,Bengaluru Rural,బెంగళూరు గ్రామీణ,बेंगलुरु ग्रामीण
Karnataka,Bidar,బీదర్,बीदर
Karnataka,Chamarajanagara,చామరాజనగర్,चामराजनगर 
Karnataka,Chikkaballapura,చిక్కబళ్లాపూర్,चिक्कबल्लपुर
Karnataka,Chikkamagaluru,చిక్కమంగళూరు,चिक्कामगलुरु
Karnataka,Chitradurga,చిత్రదుర్గ,चित्रदुर्ग
Karnataka,Dakshina Kannada,దక్షిణా కన్నడ,दक्षिण कन्नड़
Karnataka,Davanagere,దావణగేరె,दावनगेरे
Karnataka,Dharwad,ధార్వాడ్,धारवाड़
Karnataka,Gadag,గడగ్,गदग
Karnataka,Hassan,హసన్,हसन
Karnataka,Haveri,హవేరి,हावेरी
Karnataka,Kalaburagi,కాలబురగి,कालबुर्गी 
Karnataka,Kodagu,కొడగు,कोडगु 
Karnataka,Kolar,కోలార్,कोलार
Karnataka,Koppal,కొప్పల్,कोप्पल
Karnataka,Mandya,మాండ్య,मंड्या
Karnataka,Mysuru,మైసూరు,मैसूर
Karnataka,Raichur,రాయచూర్,रायचुर
Karnataka,Ramanagara,రామనగర,रामनगर
Karnataka,Shivamogga,శివమొగ్గ,शिवमोग्गा 
Karnataka,Tumakuru,తుముకూరు,तुमकुरु 
Karnataka,Udupi,ఉడిపి,उड़िपी 
Karnataka,Uttara Kannada,ఉత్తర కన్నడ,उत्तर कन्नड़
Karnataka,Vijayapura,విజయపుర,विजयपुरा 
Karnataka,Yadgir,యాద్గిర్,यादगीर
Kerala,Alappuzha,అలప్పుజ,अलपुझा
Kerala,Ernakulam,ఎర్నాకులం,एर्नाकुलम
Kerala,Idukki,ఇడుక్కి,इडुक्की
Kerala,Kannur,కన్నూర్,कन्नूर
Kerala,Kasaragod,కాసర్గోడ్,कासरगोड
Kerala,Kollam,కొల్లం ,कोल्लम
Kerala,Kottayam,కొట్టాయం,कोट्टायम
Kerala,Kozhikode,కోజికోడ్,कोझिकोड
Kerala,Malappuram,మలప్పురం,मलप्पुरम
Kerala,Palakkad,పాలక్కాడ్,पालक्काड 
Kerala,Pathanamthitta,పతనంతిట్ట,पथानामथिट्टा
Kerala,Thiruvananthapuram,తిరువంతపురం,तिरुवनंतपुरम
Kerala,Thrissur,త్రిస్సూర్,त्रिशूर
Kerala,Wayanad,వయనాడ్,वायनाड
Ladakh,Kargil,కార్గిల్,कारगिल
Ladakh,Leh,లేహ్,लेह
Lakshadweep,Lakshadweep,లక్షద్వీప్,लक्षद्वीप
Madhya Pradesh,Agar Malwa,అగర్ మాల్వా,अगर मालवा 
Madhya Pradesh,Alirajpur,అలిరాజపూర్ ,अलीराजपुर
Madhya Pradesh,Anuppur,అనుప్పూర్ ,अनूपपुर
Madhya Pradesh,Ashoknagar,అశోక్ నగర్ ,अशोकनगर
Madhya Pradesh,Balaghat,బాలఘాట్ ,बालाघाट
Madhya Pradesh,Barwani,బర్వాణీ ,बड़वानी
Madhya Pradesh,Betul,బెతుల్,बेतुल
Madhya Pradesh,Bhind,భిండ్ ,भिंड
Madhya Pradesh,Bhopal,భూపాల్,भोपाल
Madhya Pradesh,Burhanpur,బురహన్పూర్,बुरहानपुर
Madhya Pradesh,Chhatarpur,చతర్పూర్ ,छतरपुर
Madhya Pradesh,Chhindwara,చింద్వారా,छिंदवाड़ा
Madhya Pradesh,Damoh,దామోహ్ ,दमोह
Madhya Pradesh,Datia,దటియా,दतिया
Madhya Pradesh,Dewas,దేవాస్,देवास
Madhya Pradesh,Dhar,ధర్,धर 
Madhya Pradesh,Dindori,దిందోరి,डिंडोरी
Madhya Pradesh,East Nimar,తూర్పు నీమార్ ,पूर्व निमाड़
Madhya Pradesh,Guna,గుణ,गुना
Madhya Pradesh,Gwalior,గ్వాలియర్ ,ग्वालियर
Madhya Pradesh,Harda,హర్దా ,हरदा
Madhya Pradesh,Hoshangabad,హోషంగాబాద్ ,होशंगाबाद
Madhya Pradesh,Indore,ఇండోర్,इंदौर
Madhya Pradesh,Jabalpur,జబల్పూర్,जबलपुर
Madhya Pradesh,Jhabua,జబువా,झाबुआ
Madhya Pradesh,Katni,కాట్నీ,कटनी
Madhya Pradesh,Mandla,మండ్ల ,मंडला
Madhya Pradesh,Mandsaur,మందఁసౌర్ ,मंदसौर
Madhya Pradesh,Morena,మోరేనా ,मोरेना 
Madhya Pradesh,Narsimhapur,నరసింహపూర్ ,नरसिंहपुर
Madhya Pradesh,Neemuch,నీముచ్,नीमच
Madhya Pradesh,Niwari,నివారి ,निवारी
Madhya Pradesh,Panna,పన్నా,पन्ना
Madhya Pradesh,Raisen,రాయ్సేన్,रायसेन
Madhya Pradesh,Rajgarh,రాజ్ఘర్,राजगढ़
Madhya Pradesh,Ratlam,రత్లాం,रतलाम
Madhya Pradesh,Rewa,రేవా,रीवा
Madhya Pradesh,Sagar,సాగర్,सागर
Madhya Pradesh,Satna,సాత్నా,सतना
Madhya Pradesh,Sehore,సీహోర్ ,सीहोर
Madhya Pradesh,Seoni,సియోనీ,सिवनी
Madhya Pradesh,Shahdol,షాదోల్ ,शाहडोल
Madhya Pradesh,Shajapur,షాజాపూర్ ,शाजापुर
Madhya Pradesh,Sheopur,శివపూర్ ,श्योपुर
Madhya Pradesh,Shivpuri,శివపురి,शिवपुरी
Madhya Pradesh,Sidhi,సిద్ధి,सिद्धि 
Madhya Pradesh,Singrauli,సింగ్రౌలి,सिंगरौली
Madhya Pradesh,Tikamgarh,టికాంగర్హ్ ,टीकमगढ़
Madhya Pradesh,Ujjain,ఉజ్జయిన్ ,उज्जैन
Madhya Pradesh,Umaria,ఉమరియా ,उमरिया
Madhya Pradesh,Vidisha,విదీష,विदिशा
Madhya Pradesh,West Nimar,వెస్ట్ నీమార్ ,पश्चिम निमाड़
