State,District,Telugu,Hindi
Maharashtra,Ahmadnagar,అహ్మద్ నగర్ ,अहमदनगर
Maharashtra,Akola,అకోలా,अकोला
Maharashtra,Amravati,అమరావతి,अमरावती
Maharashtra,Aurangabad,ఔరంగాబాద్,औरंगाबाद
Maharashtra,Bhandara,భండారా,भंडारा
Maharashtra,Bid,బిడ్,बिड 
Maharashtra,Buldana,బుల్దానా,बुलढाणा
Maharashtra,Chandrapur,చంద్రపూర్,चंद्रपुर
Maharashtra,Dhule,ధూలే,धुले
Maharashtra,Gadchiroli,గడ్చిరోలి,गडचिरोली
Maharashtra,Gondiya,గోండియా,गोंदिया जिला
Maharashtra,Hingoli,హింగోలీ,हिंगोली
Maharashtra,Jalgaon,జల్గావ్,जलगांव
Maharashtra,Jalna,జాల్నా,जालना 
Maharashtra,Kolhapur,కొల్హాపూర్,कोल्हापुर
Maharashtra,Latur,లాతూర్,लातूर
Maharashtra,Mumbai,ముంబై,मुंबई
Maharashtra,Mumbai Suburban,ముంబై సబర్బన్,मुंबई उपनगरीय
Maharashtra,Nagpur,నాగ్పూర్,नागपुर
Maharashtra,Nanded,నాందేడ్,नांदेड़
Maharashtra,Nandurbar,నందుర్బార్ ,नंदुरबार
Maharashtra,Nashik,నాసిక్,नासिक
Maharashtra,Osmanabad,ఉస్మానాబాద్,उस्मानाबाद
Maharashtra,Palghar,పాల్గర్ ,पालघर 
Maharashtra,Parbhani,పర్భాని,परभानी 
Maharashtra,Pune,పూనే,पुणे
Maharashtra,Raigarh,రాయ్గఢ్,रायगढ़
Maharashtra,Ratnagiri,రత్నగిరి,रत्नागिरी
Maharashtra,Sangli,సాంగ్లి,सांगली
Maharashtra,Satara,సతారా,सतारा
Maharashtra,Sindhudurg,సింధుదుర్గ్,सिंधुदुर्ग
Maharashtra,Solapur,సోలాపూర్,सोलापुर
Maharashtra,Thane,థానే,थाणे 
Maharashtra,Wardha,వార్ధా,वार्धा 
Maharashtra,Washim,వాషిం,वाशिम
Maharashtra,Yavatmal,యావత్మల్,यावतमाल 
Manipur,Bishnupur,బిష్ణుపూర్,बिष्णुपूर 
Manipur,Chandel,చందేల్,चंदेल
Manipur,Churachandpur,చురచంద్పూర్,छुरछंदपुर
Manipur,Imphal East,ఇంఫాల్ ఈస్ట్,इम्फाल ईस्ट
Manipur,Imphal West,ఇంఫాల్ వెస్ట్,इंफाल पश्चिम
Manipur,Jiribam,జిరిబం,जिरिबम 
Manipur,Kakching,కక్చింగ్,कक्चिंग 
Manipur,Kamjong,కంజోంగ్ ,कमजोंग 
Manipur,Kangpokpi,కాంగ్పాక్పి ,कांगपोकपि 
Manipur,Noney,నోనీ ,नोनी 
Manipur,Pherzawl,ఫెర్జ్వల్ ,फेरजॉल 
Manipur,Senapati,సేనాపతి,सेनापति
Manipur,Tamenglong,తమెంగ్లాంగ్,तामेंगलांग
Manipur,Tengnoupal,తెంగ్నౌపాల్ ,टेंगनोपाल 
Manipur,Thoubal,తౌబాల్,थौबल
Manipur,Ukhrul,ఉఖ్రుల్,उखरूल
Meghalaya,East Garo Hills,తూర్పు గారో హిల్స్,पूर्व गारो हिल्स
Meghalaya,East Jaintia Hills,తూర్పు జైన్తియా  హిల్స్,पूर्व जैंतिया हिल्स
Meghalaya,East Khasi Hills,ఈస్ట్ కాశీ హిల్స్,पूर्वी खासी हिल्स
Meghalaya,North Garo Hills,ఉత్తర గారో హిల్స్,उत्तर गारो हिल्स
Meghalaya,Ribhoi,రిబోయి ,रीभोई 
Meghalaya,South Garo Hills,దక్షిణ గారో హిల్స్,दक्षिण गारो हिल्स
Meghalaya,South West Garo Hills,సౌత్ వెస్ట్ గారో హిల్స్,दक्षिण पश्चिम गारो हिल्स
Meghalaya,South West Khasi Hills,సౌత్ వెస్ట్ కాశీ హిల్స్,साउथ वेस्ट खासी हिल्स
Meghalaya,West Garo Hills,వెస్ట్ గారో హిల్స్,पश्चिम गारो हिल्स
Meghalaya,West Jaintia Hills,వెస్ట్ జైన్తియా హిల్స్,पश्चिम जैंतिया हिल्स
Meghalaya,West Khasi Hills,వెస్ట్ కాశీ హిల్స్,पश्चिम खासी हिल्स
Mizoram,Aizawl,ఏయిసావ్ల్,आइजोल
Mizoram,Champhai,ఛాంఫై ,चम्फाई
Mizoram,Kolasib,కొలాజిబ్ ,कोलासिब
Mizoram,Lawngtlai,లవంగ్త్లై,लौंगथलाई 
Mizoram,Lunglei,లుంగ్ల్య్ ,लुंगलेई
Mizoram,Mamit,మామిత్ ,मामित
Mizoram,Saiha,సైహ,सैहा
Mizoram,Serchhip,సేర్చిప్ ,सेरछिप
Nagaland,Dimapur,దిమాపూర్,दीमापुर
Nagaland,Kiphire,కిఫిరె,किफायर
Nagaland,Kohima,కోహిమా,कोहिमा
Nagaland,Longleng,లాంగ్ లెంగ్,लोंगलेंग
Nagaland,Mokokchung,మోకోక్చుంగ్,मोकोकचुंग
Nagaland,Mon,మోన్ ,सोमवार
Nagaland,Peren,పెరెన్ ,पेरेन
Nagaland,Phek,ఫేక్,फेक 
Nagaland,Tuensang,ట్యూన్సంగ్,तुएनसांग
Nagaland,Wokha,వోఖా,वोखा
Nagaland,Zunheboto,జునెబోటొ,जुनेबोटो 
Odisha,Anugul,అనుగుల్ ,अनुगुल 
Odisha,Balangir,బలంగీర్,बलांगीर
Odisha,Baleshwar,బలేశ్వర్,बालेश्वर
Odisha,Bargarh,భర్గఢ్ ,बारगढ़
Odisha,Baudh,బౌధ్ ,बौद्ध 
Odisha,Bhadrak,భద్రక్ ,भद्रक
Odisha,Cuttack,కటక్,कटक
Odisha,Debagarh,దేబాగర్హ్ ,देबरगढ़ 
Odisha,Dhenkanal,దెంకనల్,ढेंकनाल
Odisha,Gajapati,గజపతి,गजपति
Odisha,Ganjam,గంజాం,गंजम
Odisha,Jagatsinghapur,జగత్సింగపూర్ ,जगतसिंहपुर 
Odisha,Jajapur,జజాపూర్ ,जजपुर 
Odisha,Jharsuguda,ఝార్సాగూడ ,झारसुगुडा
Odisha,Kalahandi,కలహండి,कालाहांडी
Odisha,Kandhamal,కంధమాల్,कंधमाल
Odisha,Kendrapara,కేంద్రపారా,केंद्रपाड़ा
Odisha,Kendujhar,కెందుఝార్ ,केंदुझार
Odisha,Khordha,ఖోర్ధ,खोर्धा 
Odisha,Koraput,కోరాపుట్,कोरापुट
Odisha,Malkangiri,మల్కాన్గిరి,मल्कानगिरी
Odisha,Mayurbhanj,మయూర్,मयूरभंज
Odisha,Nabarangapur,నబరంగపూర్ ,नबरंगपुर 
Odisha,Nayagarh,నయాగర్హ్ ,नयागढ़
Odisha,Nuapada,నువాపద ,नुआपाड़ा
Odisha,Puri,పూరి,पुरी
Odisha,Rayagada,రాయగడ,रायगढ़
Odisha,Sambalpur,సంబల్పూర్,संबलपुर
Odisha,Subarnapur,సుబర్ణపూర్ ,सुबर्णपुर 
Odisha,Sundargarh,సుందర్గఢ్,सुंदरगढ़
Puducherry,Karaikal,కారైకాల్,कराईकल
Puducherry,Mahe,మాహె ,माहे
Puducherry,Puducherry,పుదుచ్చేరి,पुडुचेरी
Puducherry,Yanam,యానాం,यानम
Punjab,Amritsar,అమృత్సర్,अमृतसर
Punjab,Barnala,బర్నాల,बरनाला
Punjab,Bathinda,భటిండా,बठिंडा
Punjab,Faridkot,ఫరీద్కోట్,फरीदकोट
Punjab,Fatehgarh Sahib,ఫతేగఢ్ సాహిబ్,फतेहगढ़ साहिब
Punjab,Fazilka,ఫజిల్క ,फाजिल्का
Punjab,Firozpur,ఫిరోజ్పూర్,फिरोजपुर
Punjab,Gurdaspur,గురుదాస్పూర్,गुरदासपुर
Punjab,Hoshiarpur,హోషియార్పూర్,होशियारपुर
Punjab,Jalandhar,జలంధర్,जलंधर 
Punjab,Kapurthala,కపుర్తలా,कपूरथला
Punjab,Ludhiana,లుధియానా,लुधियाना
Punjab,Mansa,మాన్సా,मानसा 
Punjab,Moga,మోగ,मोगा
Punjab,Pathankot,పఠాంకోట్,पठानकोट
Punjab,Patiala,పాటియాలా,पटियाला
Punjab,Rupnagar,రూప్నగర్,रूपनगर
Punjab,S.A.S. Nagar,ఎస్.ఏ.ఎస్ నగర్,एस.ए.एस. नगर
Punjab,Sangrur,సంగ్రూర్,संगरूर 
Punjab,Shahid Bhagat Singh Nagar,షాహిద్ భగత్ సింగ్ నగర్,शाहिद भगत सिंह नगर
Punjab,Sri Muktsar Sahib,శ్రీ ముక్త్సర్ సాహిబ్,मुक्तसर
Punjab,Tarn Taran,టార్న్ తరణ్,तरन तारन
Rajasthan,Ajmer,అజ్మీర్,अजमेर
Rajasthan,Alwar,అల్వార్,अलवर
Rajasthan,Banswara,బన్స్వారా,बांसवाड़ा
Rajasthan,Baran,బరన్,बरन
Rajasthan,Barmer,బార్మర్,बाड़मेर
Rajasthan,Bharatpur,భరత్పూర్,भरतपुर
Rajasthan,Bhilwara,భిల్వారా,भीलवाड़ा
Rajasthan,Bikaner,బికానెర్,बीकानेर
Rajasthan,Bundi,బుండి,बूंदी
Rajasthan,Chittaurgarh,చిత్తోర్గర్హ్ ,चितौड़गढ़
Rajasthan,Churu,చురు,चुरू
Rajasthan,Dausa,దౌసా,दौसा
Rajasthan,Dhaulpur,ధౌల్పూర్ ,धौलपुर
Rajasthan,Dungarpur,దుంగార్పూర్ ,डूंगरपुर
Rajasthan,Ganganagar,గంగానగర్,गंगानगर
Rajasthan,Hanumangarh,హనుమాంగర్హ్ ,हनुमानगढ़
Rajasthan,Jaipur,జైపూర్,जयपुर
Rajasthan,Jaisalmer,జైసల్మేర్,जैसलमेर
Rajasthan,Jalore,జాలోర్,जालोर
Rajasthan,Jhalawar,ఝలావర్,झालावाड़
Rajasthan,Jhunjhunu,ఝునుఝును ,झुंझुनू
Rajasthan,Jodhpur,జోధ్పూర్,जोधपुर
Rajasthan,Karauli,కరౌలి,करौली
Rajasthan,Kota,కోటా,कोटा
Rajasthan,Nagaur,నాగౌర్,नागौर
Rajasthan,Pali,పాలి,पाली
Rajasthan,Pratapgarh,ప్రతాప్గఢ్,प्रतापगढ़
Rajasthan,Rajsamand,రాజసమండ్,राजसमंद
Rajasthan,Sawai Madhopur,సవాయ్ మాధోపూర్,सवाई माधोपुर
Rajasthan,Sikar,సికార్,सीकर
Rajasthan,Sirohi,సిరోహి,सिरोही
Rajasthan,Tonk,టోంక్ ,टोंक
Rajasthan,Udaipur,ఉదయపూర్,उदयपुर
Sikkim,East District,తూర్పు జిల్లా,पूर्वी जिला
Sikkim,North District,ఉత్తర జిల్లా,उत्तरी जिला
Sikkim,South District,దక్షిణ జిల్లా,दक्षिण जिला
Sikkim,West District,పశ్చిమ జిల్లా,पश्चिम जिला
Tamil Nadu,Ariyalur,అరియలూర్ ,अरियालुर
Tamil Nadu,Chennai,చెన్నై,चेन्नई
Tamil Nadu,Coimbatore,కోయంబత్తూరు,कोयंबटूर
Tamil Nadu,Cuddalore,కడలూరు,कुड्डालोर
Tamil Nadu,Dharmapuri,ధర్మపురి,कडलोर 
Tamil Nadu,Dindigul,దిండిగల్,डिंडीगुल
Tamil Nadu,Erode,ఈరోడ్,इरोड
Tamil Nadu,Kancheepuram,కాంచీపురం ,कांचीपुरम
Tamil Nadu,Kanniyakumari,కన్యాకుమారి ,कन्याकुमारी
Tamil Nadu,Karur,కరూర్,करूर
Tamil Nadu,Krishnagiri,క్రిష్ణగిరి,कृष्णागिरी
Tamil Nadu,Madurai,మదురై ,मदुरै
Tamil Nadu,Nagapattinam,నాగపట్నం,नागपट्टिनम
Tamil Nadu,Namakkal,నమక్కల్,नमक्कल
Tamil Nadu,Perambalur,పెరంబలూర్,पेरम्बलुर
Tamil Nadu,Pudukkottai,పుదుకొట్టై ,पुदुक्कोट्टई
Tamil Nadu,Ramanathapuram,రామనాథపురం,रामनाथपुरम
Tamil Nadu,Salem,సేలం,सेलम 
Tamil Nadu,Sivaganga,శివగంగ,शिवगंगा
Tamil Nadu,Thanjavur,తంజావూరు,तंजावुर
Tamil Nadu,The Nilgiris,నీలగిరి,नीलगिरी
Tamil Nadu,Theni,తేని ,थेनि 
Tamil Nadu,Thiruvallur,తిరువళ్లూర్ ,तिरुवल्लुर
Tamil Nadu,Thiruvarur,తిరువరూర్,थिरुवरुर
Tamil Nadu,Thoothukkudi,తూత్తుకుడి ,थूथुकुडी
Tamil Nadu,Tiruchirappalli,తిరుచిరాపల్లి,तिरुचिरापल्ली
Tamil Nadu,Tirunelveli,తిరునల్వేలి,तिरुनेलवेली
Tamil Nadu,Tiruppur,తిరుప్పూర్,तिरुपूर
Tamil Nadu,Tiruvannamalai,తిరువన్నమలై,तिरुवन्नामलाई
Tamil Nadu,Vellore,వెల్లూర్,वेल्लोर
Tamil Nadu,Viluppuram,విలుప్పురం ,विलुप्पुरम
Tamil Nadu,Virudhunagar,విరుదునగర్,विरुधुनगर
Telangana,Adilabad,ఆదిలాబాద్,आदिलाबाद
Telangana,Bhadradri Kothagudem,భద్రాద్రి కొత్తగూడెం,भाद्रादृ कोठागुडेम 
Telangana,Hyderabad,హైదరాబాద్,हैदराबाद
Telangana,Jagitial,జగిత్యాల ,जगित्याल 
Telangana,Jangoan,జన్గోయన్,जंगाव 
Telangana,Jayashankar Bhupalapally,జయశంకర్ భూపాలపల్లి ,जयशंकर भूपालापल्ली 
Telangana,Jogulamba Gadwal,జోగులాంబ గద్వాల్,जोगुलाम्बा गढ़वाल 
Telangana,Kamareddy,కామారెడ్డి,कामारेड्डी 
Telangana,Karimnagar,కరీంనగర్,करीमनगर
Telangana,Khammam,ఖమ్మం,खम्मम
Telangana,Kumuram Bheem Asifabad,కొమరంభీమ్ ఆసిఫాబాద్,कौमरंभीं असिफाबाद 
Telangana,Mahabubabad,మహబూబాబాద్,महबुबाबाद
Telangana,Mahabubnagar,మహబూబ్నగర్,महबूबनगर
Telangana,Mancherial,మంచేరియాల్,मानचेरियल 
Telangana,Medak,మెదక్,मेडक
Telangana,Medchal Malkajgiri,మేడ్చల్ మల్కాజ్గిరి,मेडचाल मल्काजगिरि
Telangana,Mulugu,ములుగు ,मुलुगु 
Telangana,Nagarkurnool,నాగర్ కర్నూల్,नगरकुरनूल
Telangana,Nalgonda,నల్గొండ,नलगोंडा
Telangana,Narayanpet,నారాయణపేట,नारायणपेट
Telangana,Nirmal,నిర్మల్,निर्मल
Telangana,Nizamabad,నిజామాబాద్,निजामाबाद
Telangana,Peddapalli,పెద్దపల్లి,पेद्दापल्ली
Telangana,Rajanna Sircilla,రాజన్న సిర్సిల్ల,राजन्ना सिरिसिल्ला 
Telangana,Ranga Reddy,రంగారెడ్డి,रंगा रेड्डी
Telangana,Sangareddy,సంగారెడ్డి,संगारेड्डी
Telangana,Siddipet,సిద్దిపేట,सिद्दीपेट
Telangana,Suryapet,సూర్యాపేట,सूर्यापेट
Telangana,Vikarabad,వికారాబాద్,विकाराबाद
Telangana,Wanaparthy,వనపర్తి,वनपर्थी 
Telangana,Warangal Rural,వరంగల్ రూరల్,वरंगल ग्रामीण
Telangana,Warangal Urban,వరంగల్ అర్బన్,वरंगल शहरी
Telangana,Yadadri Bhuvanagiri,యాదాద్రి భువనగిరి ,यादाद्रि भुवनगिरि 
Tripura,Dhalai,దలై,धलाई
Tripura,Gomati,గోమతి,गोमती
Tripura,Khowai,ఖోవై ,खोवाई
Tripura,North Tripura,నార్త్ త్రిపుర,उत्तरी त्रिपुरा
Tripura,Sipahijala,సిపాహిజల ,सिपाहीजाला
Tripura,South Tripura,సౌత్ త్రిపుర,दक्षिण त्रिपुरा
Tripura,Unokoti,ఉనోకోటి ,उनाकोटी 
Tripura,West Tripura,వెస్ట్ త్రిపుర,पश्चिम त्रिपुरा
Uttar Pradesh,Agra,ఆగ్రా,आगरा
Uttar Pradesh,Aligarh,అలిగర్,अलीगढ़
Uttar Pradesh,Ambedkar Nagar,అంబేద్కర్ నగర్,अंबेडकर नगर
Uttar Pradesh,Amethi,అమేథి,अमेठी
Uttar Pradesh,Amroha,అంరోహ ,अमरोहा
Uttar Pradesh,Auraiya,ఔరైయా ,औरैया
Uttar Pradesh,Azamgarh,ఆజంగఢ్,आजमगढ़
Uttar Pradesh,Baghpat,బాఘ్పత్ ,बागपत
Uttar Pradesh,Bahraich,బహ్రెయిచ్,बहराइच
Uttar Pradesh,Ballia,బాలియా,बलिया
Uttar Pradesh,Balrampur,బలరామ్పూర్,बलरामपुर
Uttar Pradesh,Banda,బండ ,बांदा
Uttar Pradesh,Bara Banki,బారాబంకి ,बारा बांकी
Uttar Pradesh,Bareilly,బరెయిలీ ,बरेली
Uttar Pradesh,Basti,బస్తీ,बस्ती
Uttar Pradesh,Bhadohi,బడోహి ,भदोही
Uttar Pradesh,Bijnor,బిజ్నోర్,बिजनौर
Uttar Pradesh,Budaun,బుదౌన్ ,शाहजहांपुर
Uttar Pradesh,Bulandshahr,బులంద్షహర్,बुलंदशहर
Uttar Pradesh,Chandauli,చందౌలీ,चंदौली
Uttar Pradesh,Chitrakoot,చిత్రకూట్,चित्रकूट
Uttar Pradesh,Deoria,డెఒరియా,देवरिया
Uttar Pradesh,Etah,ఈటా ,एटा
Uttar Pradesh,Etawah,ఎతావాహ్ ,इटावा
Uttar Pradesh,Faizabad,ఫైజాబాద్,फैजाबाद
Uttar Pradesh,Farrukhabad,ఫరూఖాబాద్,फर्रुखाबाद
Uttar Pradesh,Fatehpur,ఫతేపూర్,फतेहपुर
Uttar Pradesh,Firozabad,ఫిరోజాబాద్,फिरोजाबाद
Uttar Pradesh,Gautam Buddha Nagar,గౌతమ్ బుద్ధ నగర్,गौतम बुद्ध नगर
Uttar Pradesh,Ghaziabad,ఘజియాబాద్,गाज़ियाबाद
Uttar Pradesh,Ghazipur,గాజీపూర్,गाजीपुर
Uttar Pradesh,Gonda,గోండా,गोंडा
Uttar Pradesh,Gorakhpur,గోరఖ్పూర్,गोरखपुर
Uttar Pradesh,Hamirpur,హమీర్ పూర్,हमीरपुर
Uttar Pradesh,Hapur,హాపూర్ ,हापुड़
Uttar Pradesh,Hardoi,హర్దోయ్ ,हरदोई
Uttar Pradesh,Hathras,హత్రాస్,हाथरस
Uttar Pradesh,Jalaun,జలౌన్ ,जालौन
Uttar Pradesh,Jaunpur,జౌన్పూర్,जौनपुर
Uttar Pradesh,Jhansi,ఝాన్సీ,झांसी
Uttar Pradesh,Kannauj,కనౌజ్,कन्नौज
Uttar Pradesh,Kanpur Dehat,కాన్పూర్ దేహత్,कानपुर देहात
Uttar Pradesh,Kanpur Nagar,కాన్పూర్ నగర్,कानपुर नगर
Uttar Pradesh,Kasganj,కసగంజ్ ,कासगंज
Uttar Pradesh,Kaushambi,కౌశంబి ,कौशाम्बी
Uttar Pradesh,Kheri,ఖేరి,खेरी
Uttar Pradesh,Kushinagar,కుషినగర్,कुशीनगर
Uttar Pradesh,Lalitpur,లలిత్పూర్,ललितपुर 
Uttar Pradesh,Lucknow,లక్నో,लखनऊ
Uttar Pradesh,Mahoba,మహోబ,महोबा
Uttar Pradesh,Mahrajganj,మహారాజగంజ్ ,महराजगंज 
Uttar Pradesh,Mainpuri,మెయిన్పురి,मैनपुरी
Uttar Pradesh,Mathura,మధుర,मथुरा
Uttar Pradesh,Mau,మౌ ,मऊ
Uttar Pradesh,Meerut,మీరట్,मेरठ
Uttar Pradesh,Mirzapur,మిర్జాపూర్,मिर्जापुर
Uttar Pradesh,Moradabad,మొరదాబాద్ ,मुरादाबाद
Uttar Pradesh,Muzaffarnagar,ముజఫర్నగర్,मुजफ्फरनगर
Uttar Pradesh,Pilibhit,పిలిభిత్,पीलीभीत
Uttar Pradesh,Pratapgarh,ప్రతాప్గఢ్,प्रतापगढ़
Uttar Pradesh,Prayagraj,ప్రయాగ్రాజ్,प्रयागराज
Uttar Pradesh,Rae Bareli,రాయ్బరేలీ,रायबरेली
Uttar Pradesh,Rampur,రాంపూర్,रामपुर
Uttar Pradesh,Saharanpur,సహారన్పూర్,सहारनपुर
Uttar Pradesh,Sambhal,సంభల్ ,संभल
Uttar Pradesh,Sant Kabir Nagar,సంత్ కబీర్ నగర్,संत कबीर नगर
Uttar Pradesh,Shahjahanpur,షాజహాన్పూర్,शाहजहांपुर
Uttar Pradesh,Shamli,షామిలి,शामली
Uttar Pradesh,Shrawasti,శ్రవస్తి ,श्रवस्ती
Uttar Pradesh,Siddharthnagar,సిద్ధార్థ్ నగర్ ,सिद्धार्थनगर
Uttar Pradesh,Sitapur,సీతాపూర్,सीतापुर
Uttar Pradesh,Sonbhadra,సొంభద్ర,सोनभद्र
Uttar Pradesh,Sultanpur,సుల్తాన్పూర్,सुल्तानपुर
Uttar Pradesh,Unnao,ఉన్నావ్,उन्नाव
Uttar Pradesh,Varanasi,వారణాసి,वाराणसी
Uttarakhand,Almora,అల్మోర,अल्मोड़ा
Uttarakhand,Bageshwar,బాగేశ్వర్,बागेश्वर
Uttarakhand,Chamoli,చమోలి,चमोली
Uttarakhand,Champawat,చంపావత్,चम्पावत
Uttarakhand,Dehradun,డెహ్రాడూన్,देहरादून
Uttarakhand,Hardwar,హరిద్వార్,हरद्वार
Uttarakhand,Nainital,నైనిటాల్,नैनीताल
Uttarakhand,Pauri Garhwal,పూరీ గర్హ్వాల్,पौड़ी गढ़वाल
Uttarakhand,Pithoragarh,పితోర్,पिथोरागढ़
Uttarakhand,Rudraprayag,రుద్రప్రయాగ,रुद्रप्रयाग
Uttarakhand,Tehri Garhwal,టెహ్రీ గర్వాల్,टिहरी गढ़वाल
Uttarakhand,Udham Singh Nagar,ఉధం సింగ్ నగర్ ,ऊधम सिंह नगर
Uttarakhand,Uttarkashi,ఉత్తరకాశీ,उत्तरकाशी
West Bengal,Alipurduar,అలీపూర్ద్వార్,अलीपुरद्वार
West Bengal,Bankura,బంకురా,बांकुड़ा
West Bengal,Birbhum,బీర్బుమ్,बीरभूम
West Bengal,Cooch Behar,కూచ్ బెహార్,कूचबिहार
West Bengal,Dakshin Dinajpur,దక్షిణ దినాజ్పూర్,दक्षिण दिनाजपुर
West Bengal,Darjeeling,డార్జిలింగ్,दार्जिलिंग
West Bengal,Hooghly,హుగ్లీ,हुगली
West Bengal,Howrah,హౌరా,हावड़ा
West Bengal,Jalpaiguri,జల్పైగురి,जलपाईगुड़ी
West Bengal,Jhargram,ఝార్గ్రామ్ ,झारग्राम
West Bengal,Kalimpong,కాలింపాంగ్,कलिम्पोंग
West Bengal,Kolkata,కోలకతా,कोलकाता
West Bengal,Maldah,మాల్దా,मालदा
West Bengal,Medinipur West,మేదినీపూర్ వెస్ట్,मेदिनीपुर पश्चिम
West Bengal,Murshidabad,ముర్షిదాబాద్,मुर्शिदाबाद
West Bengal,Nadia,నాడియా,नादिया
West Bengal,North 24 Parganas,ఉత్తర 24 పరగణాల,उत्तर 24 परगना
West Bengal,Paschim Bardhaman,పశ్చిమ్ బర్ధమాన్,पश्चिम बर्धमान
West Bengal,Purba Bardhaman,పూర్బ బర్ధమాన్ ,पूर्ब बर्धमान
West Bengal,Medinipur East,మేదినీపూర్ ఈస్ట్,मेदिनीपुर पूर्व
West Bengal,Purulia,పురులియా,पुरुलिया
West Bengal,South 24 Parganas,దక్షిణ 24 పరగణాల,दक्षिण 24 परगना
West Bengal,Uttar Dinajpur,ఉత్తర దినాజ్పూర్,उत्तर दिनाजपुर